Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
CITY,Rockport,$8491.01,$7932.41,7.04%,$14657.38,$13524.41,8.38%,2,2013,"QUARTERLY"""
CITY,Bonham,$817.85,$898.21,-8.95%,$1629.68,$1111.04,46.68%,2,2016,"QUARTERLY"""
CITY,Bonham,$817.85,$898.21,-8.95%,$1629.68,$1111.04,46.68%,2,2016,"QUARTERLY"""
COUNTY,Orange,$14186.35,$14550.25,-2.5%,$45327.77,$42156.94,7.52%,3,2015,"QUARTERLY"""
COUNTY,Real,$518.91,$665.74,-22.06%,$518.91,$665.74,-22.06%,1,2014,"QUARTERLY"""
CITY,Sugar Land,$153014.89,$139384.01,9.78%,$153014.89,$139384.01,9.78%,1,2015,"QUARTERLY"""
CITY,Campbell,$933.37,$725.68,28.62%,$1782.91,$1426.16,25.01%,2,2016,"QUARTERLY"""
CITY,Campbell,$933.37,$725.68,28.62%,$1782.91,$1426.16,25.01%,2,2016,"QUARTERLY"""
CITY,Georgetown,$26813.78,$17659.00,51.84%,$67387.32,$53469.14,26.03%,3,2013,"QUARTERLY"""
CITY,Coleman,$1337.10,$1427.62,-6.34%,$2980.98,$2794.18,6.69%,2,2015,"QUARTERLY"""
CITY,Westworth Village,$2926.15,$2078.52,40.78%,$12752.24,$6918.12,84.33%,4,2014,"QUARTERLY"""
CITY,Uvalde,$5742.30,$4250.73,35.09%,$13409.80,$8467.09,58.38%,2,2014,"QUARTERLY"""
CITY,Dripping Springs,$10059.06,$7406.97,35.81%,$18018.71,$12909.83,39.57%,2,2015,"QUARTERLY"""
CITY,Oyster Creek,$70.71,$53.03,33.34%,$100.03,$99.48,0.55%,3,2014,"QUARTERLY"""
CITY,Kyle,$17491.73,$8866.93,97.27%,$46865.70,$26290.11,78.26%,3,2015,"QUARTERLY"""
CITY,Southlake,$90512.55,$56026.90,61.55%,$176190.96,$112747.72,56.27%,2,2014,"QUARTERLY"""
CITY,Arlington,$434974.26,$436024.87,-0.24%,$897715.60,$836040.30,7.38%,2,2015,"QUARTERLY"""
CITY,Navasota,$2591.68,$2466.36,5.08%,$2591.68,$2466.36,5.08%,1,2014,"QUARTERLY"""
CITY,Milford,$78.05,$0.00,0%,$187.11,$0.00,0%,3,2013,"QUARTERLY"""
CITY,Ferris,$421.92,$383.86,9.92%,$1399.58,$1315.65,6.38%,4,2015,"QUARTERLY"""
CITY,Alpine,$3151.03,$2453.03,28.45%,$3151.03,$2453.03,28.45%,1,2013,"QUARTERLY"""
CITY,Shamrock,$2263.48,$1757.27,28.81%,$5449.09,$5399.50,0.92%,3,2013,"QUARTERLY"""
CITY,Moulton,$1006.85,$959.53,4.93%,$2015.83,$2266.98,-11.08%,2,2014,"QUARTERLY"""
CITY,La Marque,$13529.05,$5378.79,151.53%,$22108.02,$10387.29,112.84%,2,2014,"QUARTERLY"""
CITY,Bryan,$29287.20,$19764.26,48.18%,$29287.20,$19764.26,48.18%,1,2014,"QUARTERLY"""
CITY,Hidalgo,$3941.65,$4138.97,-4.77%,$3941.65,$4138.97,-4.77%,1,2015,"QUARTERLY"""
CITY,Domino,$942.44,$692.94,36.01%,$3372.11,$3474.86,-2.96%,4,2015,"QUARTERLY"""
COUNTY,Shackelford,$1016.90,$1088.94,-6.62%,$2215.81,$2181.71,1.56%,2,2015,"QUARTERLY"""
CITY,Point Venture,$92.23,$97.54,-5.44%,$92.23,$97.54,-5.44%,1,2013,"QUARTERLY"""
CITY,Coppell,$12306.88,$12398.23,-0.74%,$21362.56,$22277.58,-4.11%,2,2013,"QUARTERLY"""
COUNTY,Red River,$93.82,$114.13,-17.8%,$119.70,$149.30,-19.83%,2,2015,"QUARTERLY"""
CITY,Seminole,$672.82,$1062.08,-36.65%,$2871.61,$3194.20,-10.1%,4,2015,"QUARTERLY"""
